# 1
-1.000000	 2.000000	 1.000000
-0.995967	 2.019843	 1.007928
-0.991905	 2.039190	 1.015638
-0.987813	 2.058046	 1.023133
-0.983692	 2.076413	 1.030412
-0.979542	 2.094298	 1.037478
-0.975363	 2.111702	 1.044331
-0.971154	 2.128632	 1.050972
-0.966916	 2.145089	 1.057402
-0.962649	 2.161079	 1.063623
-0.958352	 2.176606	 1.069635
-0.954026	 2.191673	 1.075440
-0.949671	 2.206285	 1.081039
-0.945287	 2.220445	 1.086433
-0.940873	 2.234158	 1.091623
-0.936429	 2.247427	 1.096610
-0.931957	 2.260257	 1.101395
-0.927455	 2.272652	 1.105979
-0.922923	 2.284616	 1.110364
-0.918362	 2.296152	 1.114551
-0.913772	 2.307265	 1.118540
-0.909152	 2.317959	 1.122332
-0.904503	 2.328238	 1.125930
-0.899825	 2.338105	 1.129333
-0.895117	 2.347566	 1.132544
-0.890379	 2.356623	 1.135563
-0.885612	 2.365281	 1.138391
-0.880816	 2.373544	 1.141029
-0.875990	 2.381416	 1.143479
-0.871135	 2.388901	 1.145741
-0.866250	 2.396003	 1.147817
-0.861336	 2.402727	 1.149708
-0.856392	 2.409075	 1.151415
-0.851419	 2.415052	 1.152938
-0.846416	 2.420662	 1.154280
-0.841383	 2.425910	 1.155441
-0.836321	 2.430799	 1.156422
-0.831230	 2.435333	 1.157224
-0.826109	 2.439516	 1.157849
-0.820958	 2.443352	 1.158298
-0.815777	 2.446846	 1.158571
-0.810568	 2.450000	 1.158670
-0.805328	 2.452821	 1.158596
-0.800059	 2.455310	 1.158350
-0.794760	 2.457473	 1.157933
-0.789432	 2.459313	 1.157346
-0.784074	 2.460835	 1.156591
-0.778686	 2.462042	 1.155668
-0.773269	 2.462939	 1.154578
-0.767822	 2.463529	 1.153324
-0.762345	 2.463816	 1.151904
-0.756839	 2.463805	 1.150322
-0.751303	 2.463500	 1.148578
-0.745737	 2.462904	 1.146672
-0.740142	 2.462022	 1.144607
-0.734517	 2.460858	 1.142383
-0.728862	 2.459415	 1.140002
-0.723177	 2.457698	 1.137464
-0.717463	 2.455710	 1.134770
-0.711719	 2.453456	 1.131922
-0.705945	 2.450941	 1.128921
-0.700141	 2.448167	 1.125768
-0.694308	 2.445138	 1.122463
-0.688444	 2.441860	 1.119009
-0.682551	 2.438335	 1.115406
-0.676628	 2.434568	 1.111655
-0.670676	 2.430564	 1.107758
-0.664693	 2.426325	 1.103715
-0.658681	 2.421856	 1.099528
-0.652639	 2.417161	 1.095197
-0.646567	 2.412244	 1.090724
-0.640465	 2.407109	 1.086110
-0.634333	 2.401761	 1.081356
-0.628171	 2.396202	 1.076463
-0.621980	 2.390437	 1.071433
-0.615758	 2.384471	 1.066265
-0.609507	 2.378307	 1.060962
-0.603225	 2.371948	 1.055525
-0.596914	 2.365401	 1.049954
-0.590573	 2.358667	 1.044251
-0.584202	 2.351752	 1.038417
-0.577801	 2.344659	 1.032453
-0.571370	 2.337392	 1.026360
-0.564909	 2.329956	 1.020139
-0.558418	 2.322354	 1.013791
-0.551897	 2.314590	 1.007317
-0.545346	 2.306669	 1.000719
-0.538765	 2.298594	 0.993998
-0.532154	 2.290370	 0.987154
-0.525513	 2.282000	 0.980189
-0.518842	 2.273489	 0.973104
-0.512141	 2.264840	 0.965899
-0.505410	 2.256058	 0.958577
-0.498649	 2.247146	 0.951138
-0.491857	 2.238109	 0.943584
-0.485036	 2.228951	 0.935914
-0.478185	 2.219675	 0.928131
-0.471303	 2.210286	 0.920236
-0.464392	 2.200788	 0.912230
-0.457450	 2.191184	 0.904113
-0.450478	 2.181479	 0.895887
-0.443476	 2.171677	 0.887553
-0.436444	 2.161782	 0.879112
-0.429382	 2.151798	 0.870566
-0.422289	 2.141729	 0.861915
-0.415167	 2.131578	 0.853160
-0.408014	 2.121350	 0.844303
-0.400831	 2.111050	 0.835344
-0.393618	 2.100680	 0.826285
-0.386374	 2.090245	 0.817127
-0.379101	 2.079750	 0.807871
-0.371797	 2.069197	 0.798518
-0.364463	 2.058591	 0.789069
-0.357099	 2.047937	 0.779525
-0.349704	 2.037237	 0.769887
-0.342279	 2.026497	 0.760157
-0.334824	 2.015720	 0.750336
-0.327339	 2.004910	 0.740424
-0.319823	 1.994071	 0.730423
-0.312277	 1.983208	 0.720334
-0.304701	 1.972324	 0.710158
-0.297095	 1.961423	 0.699896
-0.289458	 1.950509	 0.689549
-0.281791	 1.939587	 0.679118
-0.274093	 1.928660	 0.668605
-0.266365	 1.917733	 0.658010
-0.258607	 1.906809	 0.647335
-0.250819	 1.895892	 0.636581
-0.243000	 1.884987	 0.625748
-0.235150	 1.874097	 0.614838
-0.227271	 1.863227	 0.603852
-0.219361	 1.852381	 0.592792
-0.211420	 1.841562	 0.581657
-0.203449	 1.830774	 0.570450
-0.195448	 1.820023	 0.559171
-0.187416	 1.809310	 0.547822
-0.179354	 1.798642	 0.536404
-0.171261	 1.788021	 0.524917
-0.163138	 1.777452	 0.513363
-0.154984	 1.766939	 0.501743
-0.146800	 1.756485	 0.490058
-0.138585	 1.746095	 0.478309
-0.130340	 1.735773	 0.466497
-0.122065	 1.725523	 0.454624
-0.113759	 1.715349	 0.442690
-0.105422	 1.705255	 0.430696
-0.097055	 1.695244	 0.418645
-0.088657	 1.685322	 0.406536
-0.080229	 1.675491	 0.394371
-0.071770	 1.665757	 0.382151
-0.063281	 1.656122	 0.369877
-0.054761	 1.646592	 0.357550
-0.046210	 1.637169	 0.345171
-0.037629	 1.627859	 0.332742
-0.029017	 1.618665	 0.320263
